band,image,time,flux,fluxerr
g,0,56150,0.0,0.0
g,0,56160,0.0,0.0
g,0,56170,0.0,0.0
g,0,56180,0.0,0.0
g,0,56188,0.0,0.0
g,0,56190,0.0,0.0
g,0,56200,0.3297475278377533,0.05742364525794983
g,0,56210,25.551416397094727,0.5054841041564941
g,0,56220,39.29796600341797,0.6268808841705322
g,0,56230,19.726947784423828,0.44415030479431156
g,0,56240,19.726947784423828,0.44415030479431156
g,0,56250,22.40802001953125,0.47337112426757816
g,0,56254,10.397211074829102,0.3224470615386963
g,0,56260,10.220192909240723,0.3196903705596924
g,0,56270,6.293837547302246,0.25087521076202396
g,1,56150,0.0,0.0
g,1,56160,0.0,0.0
g,1,56170,0.0,0.0
g,1,56180,0.0,0.0
g,1,56188,0.0,0.0
g,1,56190,0.0,0.0
g,1,56200,1.825426465984492e-06,0.00013510833960026503
g,1,56210,4.3860356527147815e-05,0.0006622715387493372
g,1,56220,7.94237756729126,0.28182225227355956
g,1,56230,15.973844528198242,0.3996729135513306
g,1,56240,15.973844528198242,0.3996729135513306
g,1,56250,34.38949966430664,0.5864255905151368
g,1,56254,13.500240325927734,0.36742672920227054
g,1,56260,18.244428634643555,0.42713499069213867
g,1,56270,20.265615463256836,0.45017347335815433
i,0,56150,0.0,0.0
i,0,56160,0.0,0.0
i,0,56170,0.0,0.0
i,0,56180,0.0,0.0
i,0,56188,0.0,0.0
i,0,56190,0.0,0.0
i,0,56200,2.6920668472207865e-10,1.6407519069616683e-06
i,0,56210,45.026039123535156,0.6710144519805908
i,0,56220,85.8157958984375,0.9263681411743164
i,0,56230,47.93265151977539,0.6923341274261475
i,0,56240,47.93265151977539,0.6923341274261475
i,0,56250,23.53060531616211,0.48508353233337403
i,0,56254,21.394500732421875,0.4625419139862061
i,0,56260,14.239883422851562,0.3773576974868775
i,0,56270,9.673319816589355,0.3110196113586426
i,1,56150,0.0,0.0
i,1,56160,0.0,0.0
i,1,56170,0.0,0.0
i,1,56180,0.0,0.0
i,1,56188,0.0,0.0
i,1,56190,0.0,0.0
i,1,56200,3.600613696086441e-10,1.8975282728206368e-06
i,1,56210,16.065643310546875,0.4008196830749512
i,1,56220,31.96848487854004,0.5654067993164062
i,1,56230,50.18760681152344,0.7084321022033692
i,1,56240,50.18760681152344,0.7084321022033692
i,1,56250,85.80513763427734,0.9263106346130372
i,1,56254,73.45228576660156,0.8570430755615235
i,1,56260,49.80063247680664,0.705695629119873
i,1,56270,41.27629089355469,0.6424662590026856
r,0,56150,0.0,0.0
r,0,56160,0.0,0.0
r,0,56170,0.0,0.0
r,0,56180,0.0,0.0
r,0,56188,0.0,0.0
r,0,56190,0.0,0.0
r,0,56200,2.0980026743666613e-11,4.580395852826769e-07
r,0,56210,54.02302169799805,0.7350035667419434
r,0,56220,131.19064331054688,1.1453848838806153
r,0,56230,72.29437255859375,0.8502610206604004
r,0,56240,72.29437255859375,0.8502610206604004
r,0,56250,12.92819881439209,0.3595580339431763
r,0,56254,5.7546610832214355,0.23988873958587648
r,0,56260,4.261890146350922e-11,6.528315225295956e-07
r,0,56270,4.335321426391602,0.2082143545150757
r,1,56150,0.0,0.0
r,1,56160,0.0,0.0
r,1,56170,0.0,0.0
r,1,56180,0.0,0.0
r,1,56188,0.0,0.0
r,1,56190,0.0,0.0
r,1,56200,4.90868352909235e-11,7.006199666648172e-07
r,1,56210,31.963375091552734,0.5653615951538086
r,1,56220,64.17453002929688,0.8010900497436524
r,1,56230,95.20489501953125,0.9757299423217773
r,1,56240,95.20489501953125,0.9757299423217773
r,1,56250,138.86671447753906,1.1784172058105469
r,1,56254,100.17234802246094,1.000861358642578
r,1,56260,56.27468490600586,0.7501645565032959
r,1,56270,33.068817138671875,0.575054931640625
